n;Lince;Edad_Suelta;suelta;Sexo;Nucleo original;Nucleo reprod;Tras;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
324;Urretxu;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;2
407;Usoa;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;2
335;Usuki;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;2
347;Uvaya;NA;1;H;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;0;0;0;1;2
408;Uvilla;NA;1;H;Ortiga;Ortiga;0;0;0;0;0;0;0;0;0;0;1;2
326;Uvira;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;2
409;Úvula;NA;1;H;Valdecigüeñas;Valdecigüeñas;0;0;0;0;0;0;0;0;0;0;1;2
432;Flora;15;2;H;Valdecañas;Valdecañas;1;0;0;0;0;0;0;0;0;0;0;8
426;Uma;1;2;H;Valdecañas;Valdecañas;0;0;0;0;0;0;0;0;0;0;0;2
427;Umbra;1;2;H;Valdecañas;Valdecañas;0;0;0;0;0;0;0;0;0;0;0;2
430;Usera;1;2;H;Valdecañas;Valdecañas;0;0;0;0;0;0;0;0;0;0;0;2
