n;Lince;Edad_Suelta;suelta;Sexo;Nucleo original;Nucleo reprod;Tras;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
322;Ulcinj;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;2
360;Ulermen;NA;1;M;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;0;0;0;1;2
367;Ulganos;NA;1;M;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;0;0;0;1;2
396;Umika;NA;1;M;Sotillo;Sotillo;0;0;0;0;0;0;0;0;0;0;1;2
383;Unicorno;NA;1;M;Ortiga;Ortiga;0;0;0;0;0;0;0;0;0;0;1;2
398;Unido;NA;1;M;Ortiga;Ortiga;0;0;0;0;0;0;0;0;0;0;1;2
414;Unku;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;2
399;Uombat;NA;1;M;Cornalvo;Cornalvo;0;0;0;0;0;0;0;0;0;0;1;2
400;Urepel;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;2
402;Urrilo;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;2
405;Urte;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;2
378;Urugwaj;NA;1;M;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;0;0;0;1;2
406;Uso;NA;1;M;Ortiga;Ortiga;0;0;0;0;0;0;0;0;0;0;1;2
333;Utah;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;2
355;Utiel;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;2
425;Ulán;1;2;M;Valdecañas;Valdecañas;0;0;0;0;0;0;0;0;0;0;0;2
428;Ur;1;2;M;Valdecañas;Valdecañas;0;0;0;0;0;0;0;0;0;0;0;2
429;Urdu;1;2;M;Ortiga;Ortiga;0;0;0;0;0;0;0;0;0;0;0;2
431;Úxer;1;2;M;Valdecañas;Valdecañas;0;0;0;0;0;0;0;0;0;0;0;2
